#axis: A07 空
#question: 何も無い状態で何が映り、何が効くか
#verdicts: 正直に空と映る|空を扱えない|プレースホルダを出している(Q0違反の疑い)|未確認
#sweep: grep -rn "is_empty()" next/ui/motolii-* next/shell (100件超、抜粋を下表に反映)
#sweep: next/shell/motolii-shell/src/lib.rs の fn stage_pane(6066-6180行台)を通読 — frame:None枝
#sweep: next/ui/motolii-browser-pane/src/lib.rs の card_grid_view(1241-1249)/preview_grid相当(1491-1499)を通読
#sweep: next/ui/motolii-inspector-pane/src/lib.rs の fn view_with_color_draft/empty_state(478-500行台)を通読
#sweep: next/ui/motolii-timeline-pane/src/key_rows.rs の band_top・next/ui/motolii-inspector-pane/src/transform.rs の key_cell_state(0キーフレームの描画)を通読
#sweep: grep -n "fn undo\|fn redo" next/core/motolii-store/src/document.rs、next/shell/motolii-shell/src/lib.rs の呼び出し元(1255-1264行)を通読
#sweep: grep -n "fn default_document\|fn new(" next/shell/motolii-shell/src/lib.rs(起動直後に既定compを必ず持たせる設計を確認)
#sweep: grep -n "WaveformState::NotRequested\|WaveformState::Loading" next/ui/motolii-timeline-pane/src/waveform_view.rs(テスト名でNotRequested/Loadingが何も描かないことを確認)
axis	map_id	対象	判定	証拠	穴	責任
A07	-	Stage: composition が無い(理論上の空project状態)	正直に空と映る	next/shell/motolii-shell/src/lib.rs:6066-6141 `stage_pane`の`None`枝が`text("comp がまだ無い")`をそのまま出す。幽霊フレーム番号やダミーletterboxを出さない	-	-
A07	-	Browser: 台帳(素材)が0件	正直に空と映る	next/ui/motolii-browser-pane/src/lib.rs:1241-1249 `card_grid_view` — `ledger_is_empty`なら"Drop files here"、フィルタ後0件(検索一致無し)なら"No matches"を出し分ける。ダミーカードやサムネ枠は出さない	-	-
A07	-	Browser: プレビュー系カタログ(preview tab)が0件	正直に空と映る	next/ui/motolii-browser-pane/src/lib.rs:1491-1499 同型で"No matches"を出す	-	-
A07	-	Inspector: 選択0件	正直に空と映る(Q0明記)	next/ui/motolii-inspector-pane/src/lib.rs:478-486 `empty_state`が「選択なし — layer を選ぶと Transform / Attrs が並ぶ」の1文だけを出し、関数doc自体に「**Q0**: 選択なし時は死に chrome を出さない(効かない行を並べない)」と明記。section見出し(MASK/EFFECTS/TEXT)も対応データが無い時は`if !selection.masks.is_empty()`等で丸ごと出さない(next/ui/motolii-inspector-pane/src/lib.rs:512-523)	-	-
A07	-	Timeline: 選択layer無し/property行0本	正直に空と映る	next/ui/motolii-timeline-pane/src/key_rows.rs:48 `band_top`が`pane.property_rows.is_empty()`で`None`を返し、選択帯そのものを描かない(偽の帯を出さない)	-	-
A07	-	Timeline: keyframeトラックが0本(プロパティに1つもキーが無い)	正直に空と映る	next/ui/motolii-inspector-pane/src/transform.rs:322 `key_cell_state`が`track.keys().is_empty()`で`KeyCellState::Static`を返す — 無いキーフレームの菱形を偽造しない	-	-
A07	-	Timeline: 波形(waveform)が未要求/読み込み中	正直に空と映る	next/ui/motolii-timeline-pane/src/waveform_view.rs:449-450(テスト`waveform_state_segments`)が`WaveformState::NotRequested`/`WaveformState::Loading`のいずれも空セグメントを返すことを確認 — 実データが無いのに波形の枠だけ描く(Q0違反の疑い)には該当しない	-	-
A07	-	Browser: カードのサムネイル領域	未確認(Q0境界線上)	next/ui/motolii-browser-pane/src/lib.rs:1291-1319 `card_view`→`card_body(category.glyph(), thumb_fill(category, colors), ...)` — 実データ(decodeした実サムネイル画像)は描かず、素材種別ごとの色面+アイコン(glyph)を描く。個々のファイル内容を反映した「サムネイルらしい絵」を偽装してはいないので、額面どおりのQ0違反ではないと判断したが、実サムネイル生成が計画中でその不在を一時的に隠す意図の色面なのか、恒久的なアイコン方式なのかは設計文書上で確認できず — 実機で見た目を確認しないと「利用者がサムネイルだと誤認するか」は判定できない	-	next/ui/motolii-browser-pane/src/lib.rs:1053(サムネ実装の要否を決める設計判断の所在)
A07	-	キーボード: Undo/Redoを空履歴(何も編集していない新規project)で叩く	正直に空と映る(かつ効く)	next/core/motolii-store/src/document.rs:729-746 `can_undo`/`can_undo() == false`のとき`undo()`は`false`を返すだけでpanicしない。呼び出し元 next/shell/motolii-shell/src/lib.rs:1255-1264 が`if !self.doc.undo() { self.status = Some("これ以上戻せない".to_owned()); }`で理由を帯に出す — M17(空でもkeymapが効く)+Q3(拒否は理由が分かる)の両方を満たす模範例	-	-
A07	-	Stage/Timeline: 空projectでのscrub(ScrubTo)	正直に空と映る(かつ効く)	next/shell/motolii-shell/src/lib.rs:2929-2932 `scrub_to`はcomposition有無を問わず`self.session.playhead = frame`を無条件に書く。comp が無くてもUIの再描画自体は起きる(Stageは「comp がまだ無い」のまま)ので「触ったのに何も起きない」がpanicや無反応にはならない	-	-
