#axis: A01 入口
#question: その意図に到達する道が在るか
#verdicts: 入口あり|入口ゼロ|呼び手はあるが入口ではない(複製/split経路のみ)|変化あり(裁定213以後)
#sweep: grep -n "^pub enum Intent" next/core/motolii-store/src/document.rs; sed -n '307,522p' next/core/motolii-store/src/document.rs
#sweep: for v in AddLayer RemoveLayer SetTrack SetPropertySlot SetPropertyLink SetPropertyModulators SetCameraPropertyModulators SetMeta SetSource SetOrder SetMasks AddMask SetTiming SetAttrs SetEffects SetShapes SetTextDocument SetComposition SetMarkers SetCameraTrack SetCameraPropertySlot SetSlots AdmitAsset RemoveAsset Freeze Unfreeze; do grep -rn "Intent::$v" next/shell next/ui --include="*.rs" | grep -v "/tests/" | grep -v fixture.rs; done
#sweep: grep -n "ReplaceSelectedLayerSource" next/ui/motolii-browser-pane/src/*.rs next/shell/motolii-shell/src/lib.rs
#sweep: grep -n "Message::Browser(msg)" -A 30 next/shell/motolii-shell/src/lib.rs
#sweep: grep -rln "modulator\|Modulator" next/ui next/shell --include="*.rs" | grep -v "/tests/"
#sweep: grep -n "struct PropertySource" -A 20 next/core/motolii-store/src/slot.rs
#sweep: grep -n "struct EffectInstance" -A 20 next/core/motolii-store/src/effect.rs; grep -n "enabled" next/core/motolii-store/src/effect.rs
axis	map_id	対象	判定	証拠	穴	責任
A01	-	`Intent` 全枝の棚卸し(裁定213後、26 variant)	変化あり(裁定213以後)	`next/core/motolii-store/src/document.rs:309-521` — 24枝(裁定212時点)から **`SetPropertyModulators`/`SetCameraPropertyModulators` の2枝が新設**(裁定213「接続子は加算」)。旧 `EffectInstance.enabled` フィールドは**削除**され `effect.{id}.enabled` という平坦 track へ移った(`next/core/motolii-store/src/effect.rs:52-53` doc「裁定213で `effect.{id}.enabled` という平坦 track へ移した」)— enabled は enum variant ではなく Value 型なので Intent の枝数自体には無関係だが、EffectInstance の**フィールド構成が変わった**事実として明記	-	next/core/motolii-store/src/document.rs:309 ※過積載(2016行)
A01	-	`SetPropertySlot`	呼び手はあるが入口ではない(複製/split経路のみ)	変化なし(裁定212のまま)。`next/shell/motolii-shell/src/clipboard.rs:132,388`(複製)・`next/ui/motolii-timeline-pane/src/split.rs:257,365`(split)の4件のみ。「slotへ差し替える」独立UI(pick_listでslotを選ぶ画面)は存在しない(`grep -rln "SlotId" next/ui/motolii-inspector-pane/src` は `lib.rs`/`projection.rs` の2件だが、両者の `Slot` はComponentSlot(投影の型)であってstoreの`SlotId`/`Slot`表とは無関係の同名異物)	穴	next/ui/motolii-inspector-pane/src/lib.rs(slot選択UIが無い) ※過積載(inspector-pane crate 全体)
A01	-	`SetPropertyLink`	入口あり	**裁定212からの変化**: 当時は複製経路2件のみで入口ゼロだったが、現HEADでは `next/ui/motolii-inspector-pane/src/link.rs:131-152` に `pick_list` からの選択→即 `Intent::SetPropertyLink` という実UI経路が存在する(`link.rs:4` doc「着地したが `source_layer` を選ぶ口が無く」という**過去の欠陥への言及**が同ファイルに残っており、以後に埋まったことが伺える)	-	next/ui/motolii-inspector-pane/src/link.rs:152
A01	-	`SetPropertyModulators`(裁定213新設)	入口ゼロ	`next/ui/motolii-timeline-pane/src/split.rs:266`(split複製経路)・`next/shell/motolii-shell/src/clipboard.rs:145`(複製経路)の2件のみ、どちらも既存値のコピー先。「modulatorを足す/外す」独立UIは存在しない(`grep -rln "modulator\|Modulator" next/ui next/shell` は上記2ファイルのみがヒット)。裁定213が加算接続子の意味を作った直後で、UIが追いついていない	穴	next/ui/motolii-inspector-pane/src/link.rs(modulator UIの自然な置き場だが未着手) ※過積載(inspector-pane crate)
A01	-	`SetCameraPropertyModulators`(裁定213新設)	入口ゼロ	`grep -rn "Intent::SetCameraPropertyModulators" next` は `document.rs`(実装)と `tests/modulator.rs`(試験)のみ。UI側の呼び手ゼロ	穴	next/ui/motolii-inspector-pane/src crate 内(カメラpropertyパネルの持ち場が特定できていない — 責任者不在自体が穴) ※過積載
A01	616	`SetSource`(素材置換)	入口あり	**結線切れ(Message/UIは在るが shell が中継しない)— 裁定212からの重要な変化・新発見**: `next/ui/motolii-browser-pane/src/lib.rs:1376` に `.on_press(Message::ReplaceSelectedLayerSource(asset_id))` という**押せるボタン**が実在する。しかし `next/ui/motolii-browser-pane/src/state.rs:295` は `Message::ReplaceSelectedLayerSource(_) => {}`(no-op、pane側は意図的に何もしない設計)で、doc(`state.rs:126`)は「supervisor が `Intent::SetSource` を dispatch する」と明記するが、**`next/shell/motolii-shell/src/lib.rs` に `ReplaceSelectedLayerSource` の文字列が一度も出現しない**(`grep -n "ReplaceSelectedLayerSource" next/shell/motolii-shell/src/lib.rs` 空振り)。`Message::Browser(msg)` 腕(`lib.rs:1395-1420`)は `CreateFromCard`/`AddMaskFromCard`/`ApplyEffectFromCard` の3腕だけを横取りし、`ReplaceSelectedLayerSource` は横取りされずそのまま `self.browser.update(msg)` へ落ちて no-op に消える。**Q0違反の実例そのもの**(触れそうで触れない — ボタンは見え、押せて、何も起きない) **(2026-08-23 C-4 が結線: `Message::Browser` 腕に4本目の横取り分岐を追加し `create.rs::replace_selected_layer_source` を呼ぶ。単一選択ゲート・失敗は status 帯へ)**	-	next/shell/motolii-shell/src/lib.rs:1395(Message::Browser腕、ここに4本目の横取り分岐が要る) ※過積載(6228行)
A01	-	`SetCameraTrack`	入口ゼロ	変化なし(裁定212のまま)。`grep -rn "Intent::SetCameraTrack" next` は `document.rs`(実装)・`tests/camera.rs`・`tests/modulator.rs`・`engine/tests/camera.rs`・`engine/tests/lottie.rs` のみ。next/ui・next/shell に1件も無い(カメラをアニメートできない、裁定212の指摘のまま存続)	穴	next/ui/motolii-inspector-pane/src crate(カメラプロパティ専用パネルが存在しない) ※過積載
A01	-	`SetCameraPropertySlot`	入口ゼロ	変化なし。`grep -rn "Intent::SetCameraPropertySlot" next` は `document.rs`・`tests/slot.rs` のみ	穴	next/ui/motolii-inspector-pane/src crate(同上) ※過積載
A01	-	`SetSlots`	呼び手はあるが入口ではない(複製/split経路のみ)	変化なし。`next/shell/motolii-shell/src/clipboard.rs:314` の1件のみが非testの呼び手で、これも複製(duplicate)経路の一部。Slots表を編集する独立画面は無い	穴	next/ui/motolii-browser-pane または next/ui/motolii-settings-pane(Slots表の持ち場が未確定) ※過積載
A01	-	`RemoveAsset`	入口ゼロ	変化なし(裁定212のまま最も明確な穴)。`grep -rn "Intent::RemoveAsset" next` は `document.rs`(実装)・`asset.rs`(doc comment)・`view.rs`(doc comment)・`tests/asset.rs` のみ — next/ui・next/shell に**1件も無い**。素材を台帳から外す手段が皆無	穴	next/ui/motolii-browser-pane/src/lib.rs(media タブのカードに削除ボタンが無い) ※過積載(browser-pane crate)
